Model;Ann‚e;Surface;Name;;Mast;;Alternative Mast;Luff Length;Vario Head?;Boom Length;Number of battens;Number of cambers;Weight
Kaos;2009;3.7;3.7;370 / 17;370;400 / 19;400;370;y;148;5;0;3.1
Kaos;2009;4.2;4.2;400 / 19;400;;;388;y;159;5;0;3.3
Kaos;2009;4.7;4.7;400 / 19;400;;;409;y;168;5;0;3.4
Kaos;2009;5.3;5.3;400 / 19;400;;;430;n;174;5;0;3.6
Kaos;2009;5.7;5.7;430 / 21;430;;;448;n;180;5;0;3.7
Kult;2009;4.7;4.7;400 / 19;400;370 / 16;370;408;y;170;5;0;
Kult;2009;5.3;5.3;400 / 19;400;;;433;y;181;5;0;
Kult;2009;5.8;5.8;430 / 21;430;400 / 19;400;450;n;188;5;0;6
Kult;2009;6.4;6.4;430 / 21;430;460 / 25;460;470;n;195;5;0;
Kult;2009;7;7;460 / 25;460;;;486;n;202;5;0;
